id,title,updatetime,wordcount,publication,tags,content,author
namsyntax_829321,Người phụ nữ từ Tiền Giang sang Vĩnh Long dương tính nCoV,,47,,Sức khỏe,"Trưa 22/6, bà Hồ Thị Thu Hằng, Phó Giám đốc Sở Y tế tỉnh Vĩnh Long xác nhận với VietNamNet, có trường hợp người phụ nữ từ Tiền Giang về Vĩnh Long dương tính SARS-CoV-2.",NamSyntax/vietnamese-news-classification
namsyntax_1073996,Hồ Ngọc Hà: Dư luận từng đồn tôi yêu đến 25 người bạn trai,,44,,Giải trí,"Hồ Ngọc Hà bảo luôn vướng thị phi trong chuyện tình cảm, thậm chí từng bị đồn quen đến 25 người bạn trai nhưng cô không lên tiếng đính chính.",NamSyntax/vietnamese-news-classification
namsyntax_1190800,Dạy trẻ không ngắt lời khi nói chuyện,,34,,Giáo dục,Thiết lập quy tắc và dạy phương pháp thu hút sự chú ý sẽ giúp trẻ biết cách không ngắt lời người khác khi nói chuyện.,NamSyntax/vietnamese-news-classification
namsyntax_739529,Thông tin mới nhất về tháo dỡ 86 căn hộ sai phạm ở Tổ hợp Mường Thanh Đà Nẵng,,61,,Bất động sản,"Chủ đầu tư tổ hợp Mường Thanh (Đà Nẵng) đã thương lượng mua lại, tháo dỡ 86 căn hộ sai phạm và xin cho phép tồn tại các căn hộ tại các tầng 4, 41, 42, với tổng số 78 căn hộ.",NamSyntax/vietnamese-news-classification
namsyntax_730491,Khám phá ngôi nhà tự cung tự cấp độc đáo giữa rừng ở Tasmanian,,51,,Bất động sản,"Với ngôi nhà được thiết kế tự cung tự cấp hoàn toàn này bạn sẽ không phải lo trả tiền điện, nước, ga hàng tháng mà lại luôn được hít thở không khí thiên nhiên trong lành.",NamSyntax/vietnamese-news-classification
namsyntax_378610,Gần 400 tỷ đồng ủng hộ đồng bào bão lũ tại Hội chợ Mùa thu,,50,,Kinh doanh,"Các tổ chức, doanh nghiệp, cá nhân đã quyên góp gần 400 tỷ đồng tại Hội chợ Mùa thu lần thứ nhất để hỗ trợ đồng bào miền Trung khắc phục hậu quả bão lũ.",NamSyntax/vietnamese-news-classification
namsyntax_1257052,Trường In muốn 99% sinh viên có hạnh kiểm tốt,,39,,Giáo dục,"Hiệu trưởng Trường Cao đẳng In nói, trường có mục tiêu đào tạo ra tỷ lệ SV có học lực khá, giỏi trên 50%, hạnh
kiểm tốt trên 99%.",NamSyntax/vietnamese-news-classification
namsyntax_1179511,4 máy bơm hút nước tìm tang vật vụ sát hại nữ chủ nhiệm HTX,,51,,Pháp luật,Công an tỉnh Bắc Ninh huy động 4 máy bơm công suất lớn hút cạn hồ nước rộng hàng nghìn mét vuông để tìm tang vật trong vụ sát hại nữ chủ nhiệm hợp tác xã.,NamSyntax/vietnamese-news-classification
namsyntax_1296979,Chuyện tình 'chị em' xuyên biên giới và đám cưới vàng viên mãn,,45,,Đời sống,"Người phụ nữ Mỹ phải lòng chàng trai Hà Lan ít hơn mình nhiều tuổi trong một chuyến đi đến châu Âu. Năm mươi năm sau, họ vẫn bên nhau hạnh phúc.",NamSyntax/vietnamese-news-classification
namsyntax_1082318,Dàn mỹ nhân khoe vẻ gợi cảm với váy xuyên thấu ở LHP Venice 2019,,43,,Giải trí,"Xuất hiện tại LHP Venice năm nay, các người đẹp đều lựa chọn những trang phục gợi cảm thậm chí có người còn bị váy áo phản chủ.",NamSyntax/vietnamese-news-classification
namsyntax_1135724,Băng nhóm thuê ô tô đi ăn trộm khắp các tỉnh thành phía Nam,,42,,Pháp luật,"Công an TP.Thủ Đức cho hay, đơn vị  vừa bắt giữ một băng nhóm trộm cắp liên tỉnh táo tợn, gây án ở nhiều tỉnh thành phía Nam.",NamSyntax/vietnamese-news-classification
namsyntax_1195406,Điểm chuẩn Học viện Ngoại giao thấp nhất 27,,34,,Giáo dục,"Tối 15/9, Học viện Ngoại giao (Hà Nội) thông báo lấy điểm chuẩn từ 27 đến 36,9, tăng gần 2 điểm so với năm ngoái.",NamSyntax/vietnamese-news-classification
namsyntax_929463,Mourinho mạnh miệng khi được hỏi về việc làm thầy Mbappe ở PSG,,37,,Thể thao,Mourinho đưa ra tuyên bố mạnh mẽ giữa thông tin đang đàm phán để đến Paris thay Galtier làm thầy Kylian Mbappe tại PSG.,NamSyntax/vietnamese-news-classification
namsyntax_783103,25 học sinh nghi ngộ độc sau khi ăn kẹo,,45,,Sức khỏe,"Cao Bằng - 25 học sinh Trường Tiểu học Việt Chu, xã Thống Nhất, huyện Hạ Lang, mệt mỏi, đau bụng, buồn nôn sau khi ăn kẹo và thạch rau câu mua trước cổng trường.",NamSyntax/vietnamese-news-classification
namsyntax_744529,Masterise Homes góp phần kết nối xu hướng không gian sống hàng hiệu,,52,,Bất động sản,"Branded Living Summit 2025 phác họa bức tranh mới của bất động sản cao cấp Việt Nam, hướng tới đưa Việt Nam trở thành điểm sáng mới của bất động sản cao cấp châu Á trong kỷ nguyên mới.",NamSyntax/vietnamese-news-classification
namsyntax_28079,Chính phủ đốc thúc vận hành metro Nhổn - ga Hà Nội và Bến Thành - Suối Tiên,,53,,Thời sự,"Chính phủ yêu cầu các đơn vị đưa vào vận hành, khai thác metro Bến Thành - Suối Tiên và đoạn trên cao đường sắt đô thị Nhổn - ga Hà Nội trong năm 2024.",NamSyntax/vietnamese-news-classification
namsyntax_1343802,Đoạn kết buồn của một mối tình Ucraina-Việt Nam‏,,42,,Đời sống,Cuộc hôn nhân mặn nồng giữa cô gái Ucraina và chàng trai Việt bỗng thay đổi đột ngột sau khi về sinh sống tại quê chồng đã khiến cô dâu bị sốc nặng...,NamSyntax/vietnamese-news-classification
namsyntax_661413,Nhà Trắng đòi gỡ bỏ bức ảnh tự sướng của Obama bằng Note 3,,55,,Khoa học,"Bức ảnh tự sướng do một cầu thủ bóng rổ chụp cùng Tổng thống Obama gần đây đã được xác nhận là một ""mánh"" quảng cáo của Samsung và Nhà Trắng sẽ kiên quyết xử lý những trường hợp như vậy.",NamSyntax/vietnamese-news-classification
namsyntax_1152114,Chồng dùng dao đoạt mạng vợ đang mang thai ở Bắc Giang,,48,,Pháp luật,"Sau khi lời qua tiếng lại, Nguyễn Văn Thảo (SN 1987, trú xã Ngọc Lý, Tân Yên, Bắc Giang) dùng dao nhọn đâm chết vợ đang mang bầu 3 tháng rồi lên công an đầu thú.",NamSyntax/vietnamese-news-classification
namsyntax_240401,"Ukraine sẵn sàng trao đổi lãnh thổ với Nga, Mỹ không gửi quân đội hỗ trợ Kiev",,51,,Thế giới,"Tổng thống Zelensky nói Ukraine sẵn sàng ""trao đổi lãnh thổ với Nga"" nếu 2 bên có thể ngồi vào bàn đàm phán. Mỹ bác bỏ khả năng triển khai quân đội tới Ukraine.",NamSyntax/vietnamese-news-classification
namsyntax_946163,Kết quả bóng đá hôm nay 7/7,,36,,Thể thao,"Kết quả bóng đá hôm nay 7/7 - Cập nhật kết quả các trận đấu bóng đá tại EURO 2020, vòng bảng AFC Champions League 2021, Copa America 2021.",NamSyntax/vietnamese-news-classification
namsyntax_228569,Thủ tướng đề nghị Việt - Trung ưu tiên hợp tác đường sắt,,41,,Thế giới,"Thủ tướng Phạm Minh Chính tiếp Đại sứ Trung Quốc Hà Vĩ, đề nghị Việt - Trung dành ưu tiên hàng đầu thúc đẩy hợp tác đường sắt.",NamSyntax/vietnamese-news-classification
namsyntax_1035233,'Gia đình Haha' - Hiện tượng số của năm,,37,,Giải trí,"""Gia đình Haha"", chương trình khai thác đời sống mộc mạc nơi làng quê Việt Nam, đoạt giải ""Hiện tượng số của năm"" tại gala Vietnam iContent 2025.",NamSyntax/vietnamese-news-classification
namsyntax_1207180,Trung Quốc cấm học sinh tiểu học tự ý dùng AI giải bài tập,,54,,Giáo dục,"Giáo viên phải đảm bảo AI chỉ đóng vai trò bổ trợ môn học, học sinh tiểu học bị cấm tự ý dùng, còn cấp 2 và 3 sử dụng ở mức nhất định, theo Bộ Giáo dục Trung Quốc.",NamSyntax/vietnamese-news-classification
namsyntax_1299665,Bố tôi đòi ly hôn để đến với ‘tình yêu đích thực’,,38,,Đời sống,"Sau hơn 30 năm sống chung với vợ, đến nay, bố chồng tôi (62 tuổi) muốn ly hôn để đến với người ông thật lòng thương.",NamSyntax/vietnamese-news-classification
namsyntax_944976,"Griezmann trở lại Atletico, Mbappe châm chọc khi vỡ mộng Real Madrid",,41,,Thể thao,"Griezmann trở lại Atletico Madrid vào giờ chót chuyển nhượng, trong khi Kylian Mbappe lỡ hẹn giấc mơ đến Real Madrid với sự chế nhạo từ Pique của Barca.",NamSyntax/vietnamese-news-classification
namsyntax_726875,"‘Vượt mặt’ tỉnh, huyện tự ý chuyển đổi gần 7ha đất rừng",,50,,Bất động sản,"Không thông qua Hội đồng Nhân dân tỉnh, UBND huyện Bá Thước (Thanh Hóa) tự ý chuyển đổi gần 7ha đất rừng sản xuất của một hộ dân sang đất trồng cây hàng năm và cấp giấy CNQSDĐ.",NamSyntax/vietnamese-news-classification
namsyntax_1018875,The Rock: 'Chúng tôi muốn tạo kỷ nguyên mới cho DC',,36,,Giải trí,"Tài tử The Rock hy vọng các đồng nghiệp tạo nên một chương mới cho vũ trụ điện ảnh DC với dự án ""Black Adam"".",NamSyntax/vietnamese-news-classification
namsyntax_984324,Thái Sơn Nam vô địch sớm ở giải Futsal QG,,45,,Thể thao,Đội bóng của bầu Tú đã trở lại với ngôi vô địch QG Futsal sau khi chia điểm với ĐKVĐ đồng thời là đối thủ cạnh tranh trực tiếp Sanna Khánh Hòa vào sáng 16/5...,NamSyntax/vietnamese-news-classification
namsyntax_246974,Ông Medvedev cảnh báo NATO ‘đùa với lửa’ khi tập trận quy mô lớn,,49,,Thế giới,"Bình luận về cuộc tập trận Steadfast Defender 2024 của NATO, Phó Chủ tịch Hội đồng An ninh Nga Dmitry Medvedev nhấn mạnh đây là hành động ‘đùa với lửa một cách rất nguy hiểm’.",NamSyntax/vietnamese-news-classification
namsyntax_256467,Chân dung ủy viên Bộ Chính trị Trung Quốc dày kinh nghiệm về công nghiệp quân sự,,55,,Thế giới,"Trong các ủy viên được bầu vào Bộ Chính trị Trung Quốc ở Đại hội 20 vừa qua, ông Trương Quốc Thanh là thành viên hiếm hoi có nhiều năm công tác trong ngành công nghiệp quân sự.",NamSyntax/vietnamese-news-classification
namsyntax_110044,"Xe container đổ phơi bụng vào nhà dân, tài xế gãy xương bả vai",,39,,Thời sự,"5h sáng nay, tại QL6 gần ngã ba Tuần Giáo (huyện Tuần  Giáo, Điện Biên), một xe container lật đổ phơi bụng vào nhà dân.",NamSyntax/vietnamese-news-classification
namsyntax_1069883,Di chúc kỳ lạ của 'Bao Thanh Thiên' Kim Siêu Quần,,48,,Giải trí,"Trong di chúc, Kim Siêu Quân - Bao Công của ""Bao Thanh Thiên"" để lại tài sản cho vợ và hy vọng bà tìm được hạnh phúc mới, nhưng kèm theo một điều kiện rất đặc biệt.",NamSyntax/vietnamese-news-classification
namsyntax_198771,Ngày thứ 141 chiến sự: Ukraine tố Nga tấn công tên lửa khiến hàng chục người chết,,47,,Thế giới,"Ukraine tố lực lượng Nga tấn công tên lửa vào thành phố Vinnystia, miền trung Ukraine, khiến ít nhất 22 dân thường thiệt mạng và hàng chục người mất tích.",NamSyntax/vietnamese-news-classification
namsyntax_28245,Hơn 2.000 máy bay không người lái vẽ biểu tượng Thủ đô,,39,,Thời sự,"2.024 máy bay không người lái có màn trình diễn ánh sáng, xếp hình 9 biểu tượng trên bầu trời Hà Nội, tối 7/2 (28 tháng chạp).",NamSyntax/vietnamese-news-classification
namsyntax_792682,Mẹ bầu bị thiểu ối có nguy hiểm?,,48,,Sức khỏe,"Vợ tôi mang bầu con đầu lòng 16 tuần, siêu âm phát hiện túi ối nhỏ hơn so với tuổi thai. Thiếu ối có gây nguy cơ bị cạn ối, thai chết lưu không? (Trung Phong, 35 tuổi, Kiên Giang)",NamSyntax/vietnamese-news-classification
namsyntax_578329,Nữ player đầu tiên trong lịch sử Overwatch League sẽ có màn ra mắt vào tháng sau,,38,,Khoa học,(GameSao.vn) – Geguri đang trên đường hội quân với Dragons và chắc chắn sẽ thi đấu tại Stage 3 của OWL.,NamSyntax/vietnamese-news-classification
namsyntax_1084451,Hết hồn vì bộ đồ nude nhìn nhầm dễ hỏng mắt của người đẹp Việt,,44,,Giải trí,Vẫn biết màu nude là một xu hướng rất được lòng các mỹ nhân nhưng khi vận nó từ đầu xuống chân dễ khiến người ta hiểu lầm.-Thời trang,NamSyntax/vietnamese-news-classification
namsyntax_1183693,Đại án 9.000 tỷ: Nữ Giám đốc Tân Hiệp Phát bị 'tố' trước tòa,,37,,Pháp luật,"Ngày 1/8, HĐXX tiếp tục thẩm vấn bị cáo Phạm Công Danh để làm rõ một số nội dung xung quanh vụ án.",NamSyntax/vietnamese-news-classification
namsyntax_1248134,Đề thi Lịch sử có nhiều điểm mới,,47,,Giáo dục,"“Đề thi môn Lịch sử có tính phân hóa, tránh được học vẹt. Đề đáp ứng yêu
cầu của kỳ thi vừa xét tôt nghiệp vừa xét tuyển sinh ĐH…” là những nhận
định của giáo viên dạy sử.",NamSyntax/vietnamese-news-classification
namsyntax_1330706,Màn kịch xin tiền trơ trẽn giữa Hà Nội của 'một bà bầu'?,,57,,Đời sống,"Khi ngất xỉu ở giữa phố, nơi đông người qua lại, người phụ nữ nhận được rất nhiều tiền của những người hảo tâm. Tuy nhiên, chiêu thức ngất xỉu của chị này lặp đi lặp lại đã khiến người khác phải nghi ngờ.",NamSyntax/vietnamese-news-classification
namsyntax_199926,Tứ Xuyên đóng cửa nhà máy vì nắng nóng,,39,,Thế giới,"Trung Quốc - Tứ Xuyên, trung tâm sản xuất chất bán dẫn quan trọng, ra lệnh đóng cửa nhiều nhà máy trong 6 ngày vì thiếu điện do nắng nóng.",NamSyntax/vietnamese-news-classification
namsyntax_887538,Ancelotti đổ lỗi cho vận đen khi thua đậm Barca,,40,,Thể thao,Mỹ - HLV Carlo Ancelotti than thở Real phung phí nhiều cơ hội ngon ăn khi dứt điểm trúng khung gỗ 5 lần trong trận giao hữu thua Barca 0-3.,NamSyntax/vietnamese-news-classification
namsyntax_419434,"Thợ máy khẩu trang thời dịch: Lúc kiếm tiền tỷ mua nhà, nay chẳng ai thuê",,53,,Kinh doanh,"Trong mùa dịch, ngoài bán khẩu trang thì nghề sửa máy làm khẩu trang cũng cho thu nhập cực “khủng”. Song, khi khẩu trang ế ẩm thì hạ giá 10 triệu cũng không có khách hỏi thuê.",NamSyntax/vietnamese-news-classification
namsyntax_266921,Malaysia bắt giữ người sáng lập ứng dụng ‘sugar daddy’,,35,,Thế giới,"Theo hãng tin Strait Times, cơ quan an ninh Malaysia đã bắt giữ người sáng lập ứng dụng ‘đổi tiền lấy tình’ Sugarbook Darren Chan.",NamSyntax/vietnamese-news-classification
namsyntax_903743,Haaland giúp Na Uy giữ mạch toàn thắng tại vòng loại World Cup,,42,,Thể thao,"Estonia - Na Uy hạ chủ nhà Estonia 1-0, còn Italy thắng Moldova 2-0 ở lượt bốn bảng I vòng loại World Cup 2026 - khu vực châu Âu.",NamSyntax/vietnamese-news-classification
namsyntax_654470,Bất ngờ với SGK điện tử trên máy tính bảng giáo dục AIC,,51,,Khoa học,"– Tất cả những cuốn sách điện tử trên chiếc máy tính bảng mà AIC Group nhập về, được đóng gói thành ứng dụng dạng số hóa SGK chứ không hề có tương tác gì với người đọc.",NamSyntax/vietnamese-news-classification
namsyntax_208242,Cảnh sát Pháp đụng độ người biểu tình phản đối tăng tuổi hưu,,42,,Thế giới,"Cảnh sát Pháp dùng vòi rồng, xịt hơi cay để đối phó với đám đông biểu tình phản đối luật tăng tuổi hưu vào ngày Quốc tế Lao động.",NamSyntax/vietnamese-news-classification
namsyntax_922639,Báo Indonesia: Garuda luôn khiến HLV Philippe Troussier vất vả,,41,,Thể thao,"Báo Indonesia đề cập đến việc HLV Philippe Troussier luôn chịu thất bại khi cùng các đội tuyển Việt Nam đối đầu với Garuna, trước thềm cuộc thư hùng ngày 21/3.",NamSyntax/vietnamese-news-classification
namsyntax_1272268,'FPT Camera có tiềm năng tại Nhật Bản',,40,,Đời sống,"Ông Phạm Thanh Tuấn cho biết sản phẩm camera giám sát của FPT thu hút hàng nghìn người tham quan, đặt hàng nhờ tích hợp loạt công nghệ thông minh, giá tốt.",NamSyntax/vietnamese-news-classification
namsyntax_983078,"Thua đậm tại Cẩm Phả, Hải Phòng mất ngôi đầu",,54,,Thể thao,"Hải Phòng cần ít nhất 1 điểm để đòi lại ngôi đầu bảng từ SHB Đà Nẵng, nhưng đội bóng đất Cảng đã không làm được điều này khi để thua Than Quảng Ninh với tỷ số 1-3 trong trận derby Đông Bắc bộ.",NamSyntax/vietnamese-news-classification
namsyntax_443774,"Mua nhà đón mở đường tăng giá: Kẻ khóc, người cười",,56,,Kinh doanh,"Hàng loạt dự án
sau khi mở đường có mức giá tăng trung bình từ 20-30%, theo khảo sát của nhiều
công ty tư vấn. Yếu tố hạ tầng giao thông quyết định rất lớn tới thành công của
một dự án bất động sản.",NamSyntax/vietnamese-news-classification
namsyntax_318890,Gặp người khát khao đào tạo các lãnh đạo trẻ,,43,,Thế giới,"Fred Swaniker, một doanh nhân luôn khát khao giải quyết các vấn đề xã hội,
tin rằng châu Phi trải qua nhiều khó khăn là do thiếu khả năng lãnh đạo thích
hợp.",NamSyntax/vietnamese-news-classification
namsyntax_986727,Xem Serena Williams dũng mãnh,,32,,Thể thao,"Hạt giống số một người Mỹ không mấy khó khăn để khuất phục Maria Sharapova chỉ sau 2 set 6-4, 6-1 ở tứ kết Australian Open 2016.",NamSyntax/vietnamese-news-classification
namsyntax_407308,Hai nhà sáng lập Trung Sơn Pharma: Đồng lòng vượt sóng ra khơi,,63,,Kinh doanh,"Bên cạnh sự đa dạng về thuốc, đến với Trung Sơn Pharma, khách hàng được trải nghiệm dịch vụ tư vấn tận tình “như người thân trong gia đình”. Bản sắc riêng này đã được 2 nhà đồng sáng lập hệ thống nhà thuốc gây dựng suốt 24 năm qua.",NamSyntax/vietnamese-news-classification
namsyntax_1044255,NSND Thanh Hoa và bến đỗ bình yên bên nghệ sĩ xiếc kém 6 tuổi,,49,,Giải trí,"Sau cuộc hôn nhân đầu tiên nhiều sóng gió, NSND Thanh Hoa kết hôn với nghệ sĩ xiếc Tôn Thất Lợi - người kém bà 6 tuổi và sống hạnh phúc 40 năm qua.",NamSyntax/vietnamese-news-classification
namsyntax_477357,Rau quả Trung Quốc tràn chợ,,46,,Kinh doanh,"Hàng loạt mặt hàng rau củ, trái cây nhập khẩu hiện đua nhau đổ bộ vào VN. Thậm chí nhiều mặt hàng nông sản từ Trung Quốc được chào mời giao hàng tận nhà nếu mua từ 5kg trở lên.",NamSyntax/vietnamese-news-classification
namsyntax_426869,Dùng thẻ tín dụng: Cẩn thận 'nợ chồng nợ chất',,58,,Kinh doanh,"Tiêu tiền trước trả tiền sau, thậm chí rút tiền sử dụng cho việc khác, sau thời gian từ 1 tháng hoặc hơn (tùy từng ngân hàng) nếu người dùng chưa thanh toán sẽ phải tính lãi,… đó là những tiện ích mà thẻ tín dụng mang lại.",NamSyntax/vietnamese-news-classification
namsyntax_242952,Cận cảnh tiêm kích F-35 của Mỹ lần đầu hạ cánh xuống đường cao tốc châu Âu,,47,,Thế giới,Không quân Mỹ đã lần đầu tiên cho hạ cánh 2 chiến đấu cơ tàng hình F-35 Lightning II thế hệ thứ 5 trên đường cao tốc ở châu Âu.,NamSyntax/vietnamese-news-classification
namsyntax_203024,Người Mỹ hôm nay bắt đầu bầu cử giữa kỳ,,40,,Thế giới,"Hàng triệu cử tri Mỹ hôm nay bỏ phiếu để bầu lại Hạ viện và 1/3 Thượng viện trong cuộc bầu cử giữa kỳ, cùng với 36 thống đốc bang.",NamSyntax/vietnamese-news-classification
namsyntax_1267718,'Siêu thị mini' tại gia thời giãn cách,,45,,Đời sống,"Hơn một tuần Hà Nội giãn cách, cả nhà Ngọc Anh không bước chân ra cửa nhưng các bữa cơm của gia đình vẫn tươm tất nhờ có 'siêu thị mini' là chiếc tủ lạnh 660 lít.",NamSyntax/vietnamese-news-classification
namsyntax_810068,Mất thị lực do đục thủy tinh thể,,41,,Sức khỏe,"TP HCM - Bà Nhung, 82 tuổi, 4 năm trước phát hiện mắt trái đục thủy tinh thể độ hai nhưng không điều trị, nay tình trạng tiến triển gây mất thị lực.",NamSyntax/vietnamese-news-classification
namsyntax_1321131,Mẹo hữu ích khi đi du lịch không phải ai cũng biết,,31,,Đời sống,Những vật dụng tự chế sau đây sẽ vô cùng hữu ích cho bạn trong một chuyến đi xa.,NamSyntax/vietnamese-news-classification
namsyntax_74772,"'Lá phổi xanh' lạ mắt lọt giữa những khối bê tông, cao ốc ở Hà Nội",,48,,Thời sự,"Hầm chui Trung Hòa - đại lộ Thăng Long những ngày qua được ""thay áo mới"" với nhiều cây cảnh trang trí, phủ xanh hai bên đường tạo điểm nhấn lạ mắt.",NamSyntax/vietnamese-news-classification
namsyntax_236925,Đòn giáng mạnh vào Mỹ khi đồng minh từ bỏ mua hệ thống phòng không Patriot,,52,,Thế giới,"Việc Đan Mạch chọn hệ thống phòng không SAMP/T của Pháp - Italia thay vì Patriot của Mỹ là chiến thắng vang dội cho Paris, nhưng lại là đòn giáng mạnh với Tổng thống Donald Trump.",NamSyntax/vietnamese-news-classification
namsyntax_213281,Đại hội đồng LHQ sắp họp khẩn về chiến sự Israel - Hamas,,41,,Thế giới,Đại hội đồng LHQ dự kiến họp khẩn ngày 26/10 để thảo luận cách ứng phó với cuộc xung đột giữa lực lượng Hamas ở Gaza với Israel.,NamSyntax/vietnamese-news-classification
namsyntax_1301730,"Bi hài ở quán cà phê: Khách mang đèn đến học, ngồi 'mọc rễ' gọi 1 cốc nước",,48,,Đời sống,"Có nhiều khách hàng thường ""ngồi thiền"" cả buổi với một ly cà phê, trong khi bản thân chiếm dụng hẳn một chiếc bàn to, có thể ngồi 4-5 người.",NamSyntax/vietnamese-news-classification
namsyntax_1285419,Nữ giảng viên gốc Việt: Học thêm ngành tâm lý để giúp đỡ trẻ em,,42,,Đời sống,Giang Thanh đã trở lại thăm trường Đại học Nông nghiệp Queen University  (Mỹ) với ước nguyện học ngành tâm lý học để giúp đỡ trẻ em.,NamSyntax/vietnamese-news-classification
namsyntax_773702,TP HCM muốn đấu thầu tập trung 308 loại thuốc,,39,,Sức khỏe,Sở Y tế TP HCM muốn mở rộng danh mục đấu thầu tập trung thêm 308 loại thuốc để giải quyết tình trạng thiếu thuốc ở trạm y tế.,NamSyntax/vietnamese-news-classification
namsyntax_770944,Tiêm vaccine Covid-19 có ảnh hưởng đến phương pháp IVF?,,44,,Sức khỏe,Anh - Nghiên cứu mới của nhóm chuyên gia Đại học Iowa cho thấy vaccine Covid-19 không ảnh hưởng tiêu cực đến tỷ lệ mang thai ở những người đang thụ tinh ống nghiệm.,NamSyntax/vietnamese-news-classification
namsyntax_901254,Các golfer nữ Việt Nam tranh vé dự major ở giải WAAP,,41,,Thể thao,"Sáu golfer nữ Việt Nam có cơ hội dự ba major, nếu vô địch giải vô địch nghiệp dư nữ châu Á - Thái Bình Dương (WAAP) tuần này.",NamSyntax/vietnamese-news-classification
namsyntax_730297,"30 tuổi, tôi mua căn nhà đầu tiên và nhận ngay cái kết đắng",,44,,Bất động sản,"Vội vàng mua nhà khi chưa tính toán kỹ bài toán tài chính, anh Minh Long, Nghệ An đã buộc phải bán ngôi nhà để tất toán nợ ngân hàng.",NamSyntax/vietnamese-news-classification
namsyntax_715972,"Đồng Khởi, TP HCM lọt nhóm mặt bằng cho thuê đắt nhất thế giới",,44,,Bất động sản,"Giá thuê mặt bằng trên đường Đồng Khởi, TP HCM đắt thứ 13 thế giới, còn phố Tràng Tiền, Hà Nội xếp thứ 17 khu vực, theo Cushman & Wakefield.",NamSyntax/vietnamese-news-classification
namsyntax_742926,Vì sao Hà Nội tính chỉ tiêu dân số căn hộ diện tích 45-70m2 chỉ hai người ở?,,73,,Bất động sản,"Theo lãnh đạo Sở Quy hoạch - Kiến trúc Hà Nội, quy định xác định chỉ tiêu dân số với căn hộ chung cư thương mại 45-70m2 tính 2 người ở là để quản lý về quy hoạch không phải quản lý về hộ khẩu hay cấm bao nhiêu người ở trong một căn hộ.",NamSyntax/vietnamese-news-classification
